Game,Number,Times Drawn,Pool,Drawings,Expected,Lower Band,Upper Band,Deviation,Percent From Expected,Within Chance Band
Pick 10,33,3385,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-7.5,-0.2210759027266028,True
Pick 10,34,3378,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-14.5,-0.42741341193809873,True
Pick 10,35,3393,80,13570,3392.5,3241.1746055680014,3543.8253944319986,0.5,0.014738393515106854,True
Pick 10,36,3385,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-7.5,-0.2210759027266028,True
Pick 10,37,3365,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-27.5,-0.8106116433308769,True
Pick 10,38,3433,80,13570,3392.5,3241.1746055680014,3543.8253944319986,40.5,1.1938098747236552,True
Pick 10,39,3414,80,13570,3392.5,3241.1746055680014,3543.8253944319986,21.5,0.6337509211495947,True
Pick 10,40,3346,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-46.5,-1.3706705969049373,True
Pick 10,41,3416,80,13570,3392.5,3241.1746055680014,3543.8253944319986,23.5,0.6927044952100221,True
Pick 10,42,3353,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-39.5,-1.1643330876934415,True
Pick 10,43,3402,80,13570,3392.5,3241.1746055680014,3543.8253944319986,9.5,0.2800294767870302,True
Pick 10,44,3373,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-19.5,-0.5747973470891673,True
Pick 10,45,3394,80,13570,3392.5,3241.1746055680014,3543.8253944319986,1.5,0.04421518054532056,True
Pick 10,46,3408,80,13570,3392.5,3241.1746055680014,3543.8253944319986,15.5,0.45689019896831246,True
Pick 10,47,3330,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-62.5,-1.8422991893883567,True
Pick 10,48,3308,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-84.5,-2.490788504053058,True
Pick 10,49,3385,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-7.5,-0.2210759027266028,True
Pick 10,50,3380,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-12.5,-0.36845983787767134,True
Pick 10,51,3357,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-35.5,-1.0464259395725866,True
Pick 10,52,3465,80,13570,3392.5,3241.1746055680014,3543.8253944319986,72.5,2.1370670596904935,True
Pick 10,53,3426,80,13570,3392.5,3241.1746055680014,3543.8253944319986,33.5,0.9874723655121592,True
Pick 10,54,3371,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-21.5,-0.6337509211495947,True
