Game,Year,Number,Times Drawn
Pick 10,1987,70,99
Pick 10,1987,71,81
Pick 10,1987,72,92
Pick 10,1987,73,95
Pick 10,1987,74,93
Pick 10,1987,75,92
Pick 10,1987,76,98
Pick 10,1987,77,78
Pick 10,1987,78,93
Pick 10,1987,79,95
Pick 10,1987,80,91
Pick 10,1988,1,88
Pick 10,1988,2,99
Pick 10,1988,3,83
Pick 10,1988,4,107
Pick 10,1988,5,93
Pick 10,1988,6,85
Pick 10,1988,7,90
Pick 10,1988,8,96
Pick 10,1988,9,103
Pick 10,1988,10,90
Pick 10,1988,11,88
Pick 10,1988,12,80
Pick 10,1988,13,86
Pick 10,1988,14,87
Pick 10,1988,15,88
Pick 10,1988,16,115
Pick 10,1988,17,87
Pick 10,1988,18,86
Pick 10,1988,19,96
Pick 10,1988,20,78
Pick 10,1988,21,99
Pick 10,1988,22,103
Pick 10,1988,23,91
Pick 10,1988,24,92
Pick 10,1988,25,100
Pick 10,1988,26,82
Pick 10,1988,27,96
Pick 10,1988,28,103
Pick 10,1988,29,95
Pick 10,1988,30,98
Pick 10,1988,31,81
Pick 10,1988,32,74
Pick 10,1988,33,92
Pick 10,1988,34,74
Pick 10,1988,35,81
Pick 10,1988,36,87
Pick 10,1988,37,115
Pick 10,1988,38,88
Pick 10,1988,39,82
Pick 10,1988,40,83
Pick 10,1988,41,95
Pick 10,1988,42,84
Pick 10,1988,43,94
Pick 10,1988,44,92
Pick 10,1988,45,88
Pick 10,1988,46,89
Pick 10,1988,47,102
Pick 10,1988,48,105
Pick 10,1988,49,95
Pick 10,1988,50,95
Pick 10,1988,51,96
Pick 10,1988,52,87
Pick 10,1988,53,101
Pick 10,1988,54,102
Pick 10,1988,55,94
Pick 10,1988,56,98
Pick 10,1988,57,83
Pick 10,1988,58,109
Pick 10,1988,59,83
Pick 10,1988,60,71
Pick 10,1988,61,84
Pick 10,1988,62,86
Pick 10,1988,63,78
Pick 10,1988,64,105
Pick 10,1988,65,87
Pick 10,1988,66,79
Pick 10,1988,67,76
Pick 10,1988,68,103
Pick 10,1988,69,90
Pick 10,1988,70,76
Pick 10,1988,71,98
Pick 10,1988,72,78
Pick 10,1988,73,78
Pick 10,1988,74,92
Pick 10,1988,75,86
Pick 10,1988,76,90
Pick 10,1988,77,100
Pick 10,1988,78,101
Pick 10,1988,79,102
Pick 10,1988,80,107
Pick 10,1989,1,91
Pick 10,1989,2,113
Pick 10,1989,3,103
Pick 10,1989,4,92
Pick 10,1989,5,82
Pick 10,1989,6,98
Pick 10,1989,7,79
Pick 10,1989,8,83
Pick 10,1989,9,90
Pick 10,1989,10,97
Pick 10,1989,11,91
Pick 10,1989,12,77
Pick 10,1989,13,93
Pick 10,1989,14,98
Pick 10,1989,15,89
Pick 10,1989,16,102
